ILI,ILCESI,MAHALLESI,DAIRE_YASAL_M2,KAT_NO,BINA_YASI,KAT_ADEDI,İNŞAAT_SEVİYESİ,ASANSÖR,DAIRE_SALON,DAIRE_MUTFAK,DAIRE_ODA,DAIRE_BANYO,ADRES,DOLAR,TÜFE_KONUT,TÜFE_KİRA,TÜFE_KONUTBAKIM,TÜFE_KONUTLAİLGİLİ,TÜFE,ÜFE,KONUT_FAİZ,CAM,KİL,ÇİMENTO,METAL,KFE,KFB
İSTANBUL,PENDİK,ESENYALI,195.0,3,17,5,100,0,1,1.0,5,2,İSTANBUL_PENDİK_ESENYALI,14.6605,906.81,699.54,1282.31,654.16,904.79,1423.27,18.238,1132.98,1504.47,1645.55,1872.0,351.7,17266.2
İSTANBUL,PENDİK,YENİALLE,68.0,1,11,5,100,1,1,1.0,2,1,İSTANBUL_PENDİK_YENİALLE,14.6605,906.81,699.54,1282.31,654.16,904.79,1423.27,18.238,1132.98,1504.47,1645.55,1872.0,351.7,17266.2
İSTANBUL,PENDİK,ŞEYHLİ,84.0,0,12,6,100,1,1,1.0,2,1,İSTANBUL_PENDİK_ŞEYHLİ,14.7068,906.81,699.54,1282.31,654.16,904.79,1423.27,18.238,1132.98,1504.47,1645.55,1872.0,351.7,17266.2
İSTANBUL,PENDİK,YENİALLE,127.0,8,23,11,100,1,1,1.0,3,1,İSTANBUL_PENDİK_YENİALLE,15.4378,927.17,715.5,1320.39,696.54,931.76,1548.01,18.42,1209.48,1661.11,1748.87,1956.13,396.6,19605.1
İSTANBUL,PENDİK,FATİH,105.0,1,15,5,100,0,1,1.0,3,2,İSTANBUL_PENDİK_FATİH,15.5639,927.17,715.5,1320.39,696.54,931.76,1548.01,18.42,1209.48,1661.11,1748.87,1956.13,396.6,19605.1
İSTANBUL,PENDİK,ŞEYHLİ,95.0,1,26,9,100,1,1,1.0,3,1,İSTANBUL_PENDİK_ŞEYHLİ,15.7886,927.17,715.5,1320.39,696.54,931.76,1548.01,18.42,1209.48,1661.11,1748.87,1956.13,396.6,19605.1
İSTANBUL,PENDİK,ESENYALI,72.0,1,6,7,100,1,1,1.0,2,1,İSTANBUL_PENDİK_ESENYALI,15.7886,927.17,715.5,1320.39,696.54,931.76,1548.01,18.42,1209.48,1661.11,1748.87,1956.13,396.6,19605.1
İSTANBUL,PENDİK,ŞEYHLİ,76.0,0,6,6,100,1,1,1.0,2,1,İSTANBUL_PENDİK_ŞEYHLİ,15.8494,927.17,715.5,1320.39,696.54,931.76,1548.01,18.42,1209.48,1661.11,1748.87,1956.13,396.6,19605.1
İSTANBUL,PENDİK,ŞEYHLİ,86.0,5,10,7,100,1,1,1.0,2,1,İSTANBUL_PENDİK_ŞEYHLİ,15.8494,927.17,715.5,1320.39,696.54,931.76,1548.01,18.42,1209.48,1661.11,1748.87,1956.13,396.6,19605.1
İSTANBUL,PENDİK,FATİH,105.0,1,14,6,100,0,1,1.0,3,1,İSTANBUL_PENDİK_FATİH,16.267,927.17,715.5,1320.39,696.54,931.76,1548.01,18.42,1209.48,1661.11,1748.87,1956.13,396.6,19605.1
İSTANBUL,PENDİK,ŞEYHLİ,160.0,3,23,5,100,1,1,1.0,5,1,İSTANBUL_PENDİK_ŞEYHLİ,16.267,927.17,715.5,1320.39,696.54,931.76,1548.01,18.42,1209.48,1661.11,1748.87,1956.13,396.6,19605.1
