ILI,ILCESI,MAHALLESI,DAIRE_YASAL_M2,KAT_NO,BINA_YASI,KAT_ADEDI,İNŞAAT_SEVİYESİ,ASANSÖR,DAIRE_SALON,DAIRE_MUTFAK,DAIRE_ODA,DAIRE_BANYO,NIHAI_DEGERI,ADRES,DOLAR,TÜFE_KONUT,TÜFE_KİRA,TÜFE_KONUTBAKIM,TÜFE_KONUTLAİLGİLİ,TÜFE,ÜFE,KONUT_FAİZ,CAM,KİL,ÇİMENTO,METAL,KFE,KFB
İSTANBUL,PENDİK,FEVZİ ÇAKMAK,95.0,6,6,9,100,1,1,1.0,2,2,4300000.0,İSTANBUL_PENDİK_FEVZİ ÇAKMAK,6.0824,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,GÜLLÜ BAĞLAR,94.0,0,6,11,100,1,1,1.0,3,2,4300000.0,İSTANBUL_PENDİK_GÜLLÜ BAĞLAR,6.0824,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,ÇAMÇEŞME,73.0,2,6,5,100,1,1,1.0,2,1,2800000.0,İSTANBUL_PENDİK_ÇAMÇEŞME,6.0824,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,VELİBABA,140.0,5,11,7,100,1,2,1.0,4,2,3850000.0,İSTANBUL_PENDİK_VELİBABA,6.0824,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,KURTKÖY,88.0,1,5,8,100,1,1,1.0,2,1,3400000.0,İSTANBUL_PENDİK_KURTKÖY,6.0824,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,KURTKÖY,203.0,9,17,12,100,1,1,1.0,4,2,20000000.0,İSTANBUL_PENDİK_KURTKÖY,6.1023,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,KAVAKPINAR,64.0,4,8,10,100,1,1,1.0,2,1,2700000.0,İSTANBUL_PENDİK_KAVAKPINAR,6.1383,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,KAVAKPINAR,71.0,1,4,7,100,1,1,1.0,2,1,2500000.0,İSTANBUL_PENDİK_KAVAKPINAR,6.1218,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,AHMET YESEVİ,58.0,0,6,6,100,1,1,1.0,2,1,2150000.0,İSTANBUL_PENDİK_AHMET YESEVİ,6.1218,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,KAVAKPINAR,73.0,2,4,7,100,1,1,1.0,2,1,2400000.0,İSTANBUL_PENDİK_KAVAKPINAR,6.1463,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
